date,frozen_exposure,overlay_exposure,expansion_probability,exposure_delta
2019-01-04,0.0,0.0,0.28049033516067295,0.0
2019-01-05,0.0,0.0,0.28049033516067295,0.0
2019-01-06,0.0,0.0,0.28049033516067295,0.0
2019-01-07,0.0,0.0,0.28049033516067295,0.0
2019-01-08,0.0,0.0,0.28049033516067295,0.0
2019-01-09,0.0,0.0,0.28049033516067295,0.0
2019-01-10,0.0,0.0,0.28049033516067295,0.0
2019-01-11,0.0,0.0,0.28049033516067295,0.0
2019-01-12,0.0,0.0,0.28049033516067295,0.0
2019-01-13,0.0,0.0,0.28049033516067295,0.0
2019-01-14,0.0,0.0,0.28049033516067295,0.0
2019-01-15,0.0,0.0,0.28049033516067295,0.0
2019-01-16,0.0,0.0,0.28049033516067295,0.0
2019-01-17,0.0,0.0,0.28049033516067295,0.0
2019-01-18,0.0,0.0,0.28049033516067295,0.0
2019-01-19,0.0,0.0,0.28049033516067295,0.0
2019-01-20,0.0,0.0,0.28049033516067295,0.0
2019-01-21,0.0,0.0,0.28049033516067295,0.0
2019-01-22,0.0,0.0,0.28049033516067295,0.0
2019-01-23,0.0,0.0,0.28049033516067295,0.0
2019-01-24,0.0,0.0,0.28049033516067295,0.0
2019-01-25,0.0,0.0,0.28049033516067295,0.0
2019-01-26,0.0,0.0,0.28049033516067295,0.0
2019-01-27,0.0,0.0,0.28049033516067295,0.0
2019-01-28,0.0,0.0,0.28049033516067295,0.0
2019-01-29,0.0,0.0,0.28049033516067295,0.0
2019-01-30,0.0,0.0,0.28049033516067295,0.0
2019-01-31,0.0,0.0,0.28049033516067295,0.0
2019-02-01,0.0,0.0,0.28049033516067295,0.0
2019-02-02,0.0,0.0,0.28049033516067295,0.0
2019-02-03,0.0,0.0,0.28049033516067295,0.0
2019-02-04,0.0,0.0,0.28049033516067295,0.0
2019-02-05,0.0,0.0,0.28049033516067295,0.0
2019-02-06,0.0,0.0,0.28049033516067295,0.0
2019-02-07,0.0,0.0,0.28049033516067295,0.0
2019-02-08,0.0,0.0,0.28049033516067295,0.0
2019-02-09,0.0,0.0,0.28049033516067295,0.0
2019-02-10,0.0,0.0,0.28049033516067295,0.0
2019-02-11,0.0,0.0,0.28049033516067295,0.0
2019-02-12,0.0,0.0,0.28049033516067295,0.0
2019-02-13,0.0,0.0,0.28049033516067295,0.0
2019-02-14,0.0,0.0,0.28049033516067295,0.0
2019-02-15,0.0,0.0,0.28049033516067295,0.0
2019-02-16,0.0,0.0,0.28049033516067295,0.0
2019-02-17,0.0,0.0,0.28049033516067295,0.0
2019-02-18,0.0,0.0,0.28049033516067295,0.0
2019-02-19,0.0,0.0,0.28049033516067295,0.0
2019-02-20,0.0,0.0,0.28049033516067295,0.0
2019-02-21,0.0,0.0,0.28049033516067295,0.0
2019-02-22,0.0,0.0,0.28049033516067295,0.0
2019-02-23,0.0,0.0,0.28049033516067295,0.0
2019-02-24,0.0,0.0,0.28049033516067295,0.0
2019-02-25,0.0,0.0,0.28049033516067295,0.0
2019-02-26,0.0,0.0,0.28049033516067295,0.0
2019-02-27,0.0,0.0,0.28049033516067295,0.0
2019-02-28,0.0,0.0,0.28049033516067295,0.0
2019-03-01,0.0,0.0,0.28049033516067295,0.0
2019-03-02,0.0,0.0,0.28049033516067295,0.0
2019-03-03,0.0,0.0,0.28049033516067295,0.0
2019-03-04,0.0,0.0,0.28049033516067295,0.0
2019-03-05,0.0,0.0,0.28049033516067295,0.0
2019-03-06,0.0,0.0,0.28049033516067295,0.0
2019-03-07,0.0,0.0,0.28049033516067295,0.0
2019-03-08,0.0,0.0,0.28049033516067295,0.0
2019-03-09,0.0,0.0,0.28049033516067295,0.0
2019-03-10,0.0,0.0,0.28049033516067295,0.0
2019-03-11,0.0,0.0,0.28049033516067295,0.0
2019-03-12,0.0,0.0,0.28049033516067295,0.0
2019-03-13,0.0,0.0,0.28049033516067295,0.0
2019-03-14,0.0,0.0,0.28049033516067295,0.0
2019-03-15,0.0,0.0,0.28049033516067295,0.0
2019-03-16,0.0,0.0,0.28049033516067295,0.0
2019-03-17,0.0,0.0,0.28049033516067295,0.0
2019-03-18,0.0,0.0,0.28049033516067295,0.0
2019-03-19,0.0,0.0,0.28049033516067295,0.0
2019-03-20,0.0,0.0,0.28049033516067295,0.0
2019-03-21,0.0,0.0,0.28049033516067295,0.0
